overall_qual,log_gr_liv_area,garage_area,total_bsmt_sf,neighborhood,exterior_1st,exterior_2nd,exter_qual,foundation,bsmt_qual,bsmt_exposure,bsmtfin_type_1,heating_qc,kitchen_qual,fireplace_qu,garage_finish,saleprice
5,7.335633981927201,0.0,736.0,OldTown,Wd Sdng,HdBoard,TA,CBlock,Gd,Av,Unf,Ex,Gd,No Fireplace,No Garage,148000
8,7.38770923908104,608.0,1595.0,StoneBr,CemntBd,CmentBd,Gd,PConc,Gd,No,GLQ,Ex,Gd,TA,RFn,236500
5,7.346655163176539,240.0,1058.0,SWISU,MetalSd,MetalSd,TA,BrkTil,Fa,No,LwQ,TA,Fa,No Fireplace,Unf,137000
5,6.866933284461882,330.0,960.0,NAmes,Wd Sdng,Wd Sdng,TA,CBlock,TA,No,Rec,Gd,TA,No Fireplace,RFn,122000
7,7.171656822768514,436.0,1302.0,Gilbert,VinylSd,VinylSd,Gd,PConc,Gd,Av,Unf,Ex,Gd,No Fireplace,Fin,176485
5,6.704414354964107,210.0,816.0,BrkSide,MetalSd,MetalSd,TA,BrkTil,TA,No,Unf,TA,TA,No Fireplace,Unf,109000
7,7.31455283232408,286.0,1502.0,GrnHill,Wd Sdng,Wd Sdng,Gd,PConc,Gd,No,GLQ,Ex,Gd,TA,Fin,330000
6,7.032624261028007,308.0,192.0,OldTown,VinylSd,VinylSd,TA,PConc,TA,No,GLQ,Gd,TA,No Fireplace,Unf,143000
9,8.032035314398824,806.0,1408.0,NoRidge,MetalSd,MetalSd,Gd,PConc,Ex,Gd,GLQ,Ex,Gd,TA,Fin,410000
6,7.450660796211539,471.0,928.0,SawyerW,HdBoard,HdBoard,Gd,PConc,Gd,No,GLQ,Ex,Gd,No Fireplace,RFn,201000
4,7.473069088032197,648.0,1077.0,OldTown,VinylSd,VinylSd,TA,BrkTil,Fa,No,Unf,TA,TA,TA,Unf,80000
6,7.749322464660356,180.0,1028.0,Crawfor,Wd Sdng,Wd Sdng,TA,CBlock,TA,No,ALQ,Ex,Gd,TA,Unf,259500
7,7.818430272070656,452.0,1122.0,Timber,VinylSd,VinylSd,Gd,PConc,Gd,Gd,GLQ,Ex,Gd,Gd,Fin,279900
5,7.127693699347399,305.0,1246.0,NAmes,BrkFace,BrkFace,TA,CBlock,TA,No,LwQ,Ex,Gd,No Fireplace,RFn,154000
6,7.670428522190693,389.0,1444.0,ClearCr,Wd Sdng,HdBoard,Gd,CBlock,Gd,Gd,Rec,Gd,Gd,TA,Fin,277000
5,7.047517221357296,215.0,799.0,Edwards,BrkFace,Wd Sdng,TA,BrkTil,TA,No,LwQ,Ex,TA,TA,Unf,128000
8,7.377758908227872,890.0,1566.0,NridgHt,VinylSd,VinylSd,Gd,PConc,Gd,No,Unf,Ex,Gd,Gd,RFn,256300
4,7.470224135899966,231.0,930.0,Crawfor,AsbShng,CmentBd,TA,BrkTil,TA,No,GLQ,Ex,Gd,TA,Unf,188000
8,7.495541943884256,765.0,1800.0,Timber,VinylSd,VinylSd,Gd,PConc,Ex,Gd,GLQ,Ex,Gd,Gd,Fin,312500
7,7.090076835776092,480.0,600.0,Somerst,MetalSd,MetalSd,Gd,PConc,Gd,No,Unf,Ex,Gd,No Fireplace,RFn,151000
5,7.21890970761906,440.0,765.0,BrDale,HdBoard,HdBoard,TA,CBlock,TA,No,ALQ,Ex,TA,No Fireplace,Unf,122500
6,7.436027816351848,542.0,835.0,SawyerW,VinylSd,VinylSd,Gd,PConc,Gd,Mn,GLQ,Ex,Gd,No Fireplace,RFn,188000
7,7.500529485395295,638.0,945.0,CollgCr,VinylSd,VinylSd,Gd,PConc,Gd,Gd,Unf,Ex,Gd,No Fireplace,RFn,209700
8,7.711548979629146,724.0,2220.0,StoneBr,VinylSd,VinylSd,Gd,PConc,Ex,Gd,GLQ,Ex,Gd,Gd,RFn,441929
6,7.426549072397305,474.0,886.0,SawyerW,HdBoard,HdBoard,Gd,PConc,Gd,No,GLQ,Ex,Gd,No Fireplace,RFn,163000
6,7.643482907077201,444.0,832.0,ClearCr,HdBoard,HdBoard,TA,CBlock,TA,Gd,LwQ,Gd,Gd,No Fireplace,Fin,187500
8,7.321849713788356,521.0,1462.0,CollgCr,VinylSd,VinylSd,Gd,PConc,Gd,Gd,GLQ,Ex,Gd,TA,Fin,220000
5,7.009408932708637,308.0,949.0,NAmes,MetalSd,MetalSd,TA,CBlock,TA,No,ALQ,TA,Gd,No Fireplace,RFn,127000
5,6.717804695023691,392.0,0.0,NAmes,VinylSd,VinylSd,TA,Slab,No Basement,No,No Basement,Ex,TA,Po,Unf,107500
6,7.302496423727326,0.0,742.0,OldTown,Wd Sdng,Wd Shng,TA,CBlock,TA,No,Unf,Ex,TA,Gd,No Garage,128000
5,6.638567789166521,504.0,680.0,OldTown,Wd Sdng,Wd Sdng,TA,BrkTil,Fa,No,Unf,Gd,TA,No Fireplace,Unf,73000
9,7.491087593534876,874.0,1792.0,NridgHt,VinylSd,VinylSd,Gd,PConc,Ex,Gd,GLQ,Ex,Ex,Gd,Fin,374000
8,7.88193748927207,746.0,1479.0,NridgHt,VinylSd,VinylSd,Gd,PConc,Ex,Mn,GLQ,Ex,Gd,TA,Fin,421250
6,7.373374309910049,389.0,808.0,Gilbert,VinylSd,VinylSd,TA,PConc,Gd,No,Unf,Gd,TA,TA,RFn,178000
4,7.074116816197362,588.0,1138.0,Edwards,Plywood,Plywood,TA,CBlock,Gd,Av,BLQ,TA,TA,No Fireplace,RFn,137500
8,7.594381242551817,691.0,1986.0,NoRidge,HdBoard,HdBoard,Gd,PConc,Gd,Gd,GLQ,Ex,Gd,TA,Fin,301500
6,7.124478262493424,180.0,583.0,SWISU,Wd Sdng,Wd Sdng,TA,BrkTil,TA,No,Unf,Gd,TA,Gd,Unf,105000
6,6.883462586413092,504.0,976.0,NAmes,HdBoard,HdBoard,TA,CBlock,TA,Av,ALQ,TA,Gd,Fa,RFn,157500
5,7.101675971619444,216.0,969.0,OldTown,AsbShng,AsbShng,TA,CBlock,TA,No,Unf,TA,TA,No Fireplace,Unf,117000
5,6.761572768804055,336.0,864.0,NAmes,Wd Sdng,Wd Sdng,TA,CBlock,TA,No,BLQ,Gd,TA,No Fireplace,Unf,105000
6,7.40184157874383,240.0,1064.0,SWISU,MetalSd,MetalSd,TA,BrkTil,TA,No,Unf,Ex,TA,No Fireplace,Unf,115000
9,7.459338895220296,834.0,1736.0,NridgHt,VinylSd,VinylSd,Ex,PConc,Ex,No,Unf,Ex,Ex,Gd,RFn,360000
5,7.336285660021297,400.0,0.0,SawyerW,Plywood,Plywood,TA,Slab,No Basement,No,No Basement,TA,TA,No Fireplace,Unf,118858
6,7.397561535524052,484.0,800.0,NWAmes,HdBoard,HdBoard,TA,CBlock,TA,No,GLQ,Gd,Gd,No Fireplace,Unf,173000
3,6.586171654854675,320.0,630.0,OldTown,VinylSd,VinylSd,TA,BrkTil,TA,No,Unf,TA,TA,No Fireplace,Unf,78500
7,7.450079569807499,440.0,840.0,Gilbert,VinylSd,VinylSd,Gd,PConc,Gd,No,Unf,Ex,Gd,Gd,Fin,183500
4,6.841615476477592,576.0,936.0,OldTown,MetalSd,MetalSd,Fa,CBlock,Fa,No,Unf,TA,TA,No Fireplace,Unf,93000
8,7.370860166536716,630.0,1406.0,Blmngtn,VinylSd,VinylSd,Gd,PConc,Gd,Gd,GLQ,Ex,Gd,TA,Fin,226500
6,7.359467638255621,380.0,799.0,Gilbert,VinylSd,VinylSd,Gd,PConc,Gd,No,Unf,Gd,TA,TA,RFn,178000
7,7.2991214627108,558.0,1453.0,CollgCr,VinylSd,VinylSd,Gd,PConc,Gd,Av,GLQ,Ex,Gd,No Fireplace,RFn,226000
5,7.397561535524052,898.0,784.0,Mitchel,VinylSd,VinylSd,Gd,CBlock,TA,Gd,BLQ,Ex,TA,TA,RFn,173000
5,6.761572768804055,360.0,864.0,Sawyer,MetalSd,MetalSd,TA,CBlock,TA,No,Rec,Gd,TA,Po,Unf,62383
9,7.905810312658931,858.0,1452.0,NridgHt,VinylSd,VinylSd,Ex,PConc,Ex,Av,GLQ,Ex,Ex,Gd,Fin,446261
7,7.2991214627108,312.0,624.0,SWISU,Wd Sdng,Stucco,TA,BrkTil,TA,No,ALQ,Ex,Gd,Gd,Unf,160000
7,7.362645270417825,668.0,1393.0,Blmngtn,VinylSd,VinylSd,Gd,PConc,Gd,No,GLQ,Ex,Gd,TA,RFn,219990
7,7.2991214627108,577.0,1468.0,CollgCr,VinylSd,VinylSd,Gd,PConc,Gd,No,Unf,Ex,Gd,No Fireplace,RFn,191000
5,6.966024187106113,308.0,756.0,BrkSide,MetalSd,MetalSd,TA,PConc,TA,No,LwQ,TA,TA,Gd,Unf,136500
4,6.849066282633458,308.0,0.0,Edwards,HdBoard,HdBoard,TA,Slab,No Basement,No,No Basement,TA,Gd,No Fireplace,Unf,80000
7,7.688455356549944,786.0,1204.0,NWAmes,HdBoard,HdBoard,Gd,PConc,Gd,No,GLQ,Gd,Gd,No Fireplace,Unf,229000
7,7.575071699507561,574.0,1050.0,SawyerW,MetalSd,MetalSd,Gd,PConc,Gd,No,GLQ,Ex,Gd,TA,Fin,236000
10,7.508787170634276,932.0,1824.0,Timber,MetalSd,MetalSd,Ex,PConc,Ex,Gd,Unf,Ex,Ex,Gd,Fin,392000
6,7.5652752818989315,316.0,720.0,IDOTRR,Plywood,Plywood,TA,CBlock,TA,No,BLQ,Fa,TA,No Fireplace,Unf,149000
10,7.780303087908373,846.0,970.0,Somerst,BrkFace,MetalSd,Ex,PConc,Gd,Mn,BLQ,Ex,Ex,TA,Fin,345000
5,7.607878073278507,624.0,716.0,OldTown,CemntBd,CmentBd,Gd,PConc,Fa,No,Unf,Ex,TA,No Fireplace,Unf,169000
4,7.124478262493424,336.0,484.0,Edwards,Wd Sdng,Wd Sdng,TA,CBlock,TA,No,Unf,TA,TA,No Fireplace,Unf,109900
7,7.600902459542082,650.0,996.0,Mitchel,HdBoard,HdBoard,TA,PConc,Gd,Av,LwQ,Ex,TA,TA,Fin,188000
6,7.252762418053187,280.0,780.0,BrkSide,MetalSd,MetalSd,TA,CBlock,TA,No,Unf,Ex,TA,Gd,Unf,132500
5,6.897704943128636,440.0,990.0,CollgCr,VinylSd,VinylSd,TA,PConc,TA,No,ALQ,Ex,TA,No Fireplace,RFn,143000
5,7.201916317531627,256.0,1342.0,Edwards,Wd Sdng,Wd Sdng,TA,CBlock,Fa,No,ALQ,Ex,TA,No Fireplace,Unf,125000
9,7.532623618788788,1085.0,1868.0,NridgHt,VinylSd,VinylSd,Ex,PConc,Ex,Gd,GLQ,Ex,Ex,Gd,Fin,415000
4,7.217443431696533,528.0,622.0,OldTown,VinylSd,VinylSd,TA,CBlock,Fa,No,Unf,Gd,TA,No Fireplace,Unf,125500
6,7.397561535524052,338.0,1240.0,NAmes,Wd Sdng,Wd Sdng,TA,CBlock,TA,No,Rec,Gd,TA,Gd,RFn,139000
10,7.738923757439457,842.0,1722.0,NridgHt,CemntBd,CmentBd,Ex,PConc,Ex,Gd,GLQ,Ex,Ex,Gd,RFn,451950
5,7.425357887027151,0.0,1678.0,Edwards,VinylSd,VinylSd,TA,CBlock,TA,No,Unf,TA,TA,No Fireplace,No Garage,119900
8,7.16703787691222,471.0,1267.0,Timber,VinylSd,VinylSd,Gd,PConc,Ex,No,GLQ,Ex,Gd,No Fireplace,Fin,220000
6,7.369600720526409,525.0,1587.0,NAmes,MetalSd,MetalSd,TA,CBlock,TA,No,BLQ,TA,TA,Gd,Unf,167300
5,7.168579897264035,256.0,720.0,Edwards,Wd Sdng,Wd Sdng,TA,CBlock,TA,No,Rec,Ex,TA,Gd,Unf,122000
5,7.454719949364001,504.0,1728.0,Sawyer,HdBoard,HdBoard,TA,CBlock,TA,No,Rec,TA,TA,No Fireplace,Unf,125000
5,6.833031732786201,288.0,928.0,OldTown,BrkFace,BrkFace,TA,CBlock,TA,No,Rec,Gd,TA,No Fireplace,Fin,112500
7,7.492760300922379,578.0,879.0,CollgCr,VinylSd,VinylSd,Gd,PConc,Gd,Gd,Unf,Ex,Gd,No Fireplace,RFn,191000
6,6.984716320118266,288.0,1080.0,NAmes,MetalSd,MetalSd,TA,CBlock,TA,No,BLQ,Gd,TA,No Fireplace,Unf,136000
7,7.483806687665835,546.0,866.0,CollgCr,VinylSd,VinylSd,TA,PConc,Gd,Av,Unf,Ex,Gd,No Fireplace,RFn,197900
6,7.399398083331354,255.0,485.0,OldTown,VinylSd,VinylSd,TA,CBlock,TA,No,Unf,Gd,Gd,No Fireplace,Unf,117000
7,7.106606137727303,632.0,1199.0,CollgCr,VinylSd,VinylSd,Gd,PConc,Gd,Av,GLQ,Ex,Gd,No Fireplace,RFn,194000
9,7.177782416195197,545.0,1310.0,Somerst,VinylSd,VinylSd,Gd,PConc,Ex,Av,GLQ,Ex,Gd,TA,RFn,285000
5,7.2115567333138015,0.0,644.0,Edwards,Wd Sdng,Wd Sdng,TA,BrkTil,TA,No,ALQ,Gd,TA,No Fireplace,No Garage,127500
7,7.738488122494646,590.0,1095.0,NoRidge,HdBoard,HdBoard,Gd,PConc,Gd,No,GLQ,Ex,Gd,TA,RFn,268000
4,7.494430215031565,342.0,1075.0,OldTown,MetalSd,MetalSd,TA,PConc,TA,No,Unf,Ex,TA,No Fireplace,Unf,137000
7,7.390181428226429,578.0,1620.0,NWAmes,Plywood,Plywood,TA,CBlock,TA,No,ALQ,Ex,Gd,Gd,Unf,215000
5,7.103322062526113,336.0,1216.0,NAmes,MetalSd,MetalSd,TA,CBlock,TA,No,Rec,TA,TA,No Fireplace,RFn,129500
5,7.203405521083095,240.0,896.0,BrkSide,MetalSd,MetalSd,TA,BrkTil,Gd,No,Unf,Gd,TA,No Fireplace,Unf,115000
5,7.055312843339752,288.0,747.0,OldTown,VinylSd,VinylSd,TA,PConc,TA,No,Unf,TA,TA,No Fireplace,Unf,114000
4,6.962243464266207,384.0,1056.0,SawyerW,HdBoard,HdBoard,TA,CBlock,TA,No,Rec,TA,TA,No Fireplace,Unf,107000
5,7.103322062526113,336.0,832.0,NAmes,MetalSd,MetalSd,TA,CBlock,TA,No,Rec,TA,TA,No Fireplace,Unf,118500
6,7.05444965813294,208.0,862.0,BrkSide,WdShing,Wd Shng,TA,BrkTil,TA,No,Unf,TA,TA,Gd,RFn,120000
8,7.338238150065589,484.0,1538.0,Somerst,VinylSd,VinylSd,Gd,PConc,Gd,Av,GLQ,Ex,Gd,No Fireplace,RFn,260000
5,7.04141166379481,308.0,1143.0,NAmes,MetalSd,MetalSd,TA,CBlock,TA,No,BLQ,TA,TA,No Fireplace,RFn,136000
4,6.77078942390898,480.0,858.0,NAmes,MetalSd,MetalSd,TA,CBlock,TA,No,Unf,TA,TA,No Fireplace,Unf,123000
6,7.24850407237061,0.0,319.0,IDOTRR,MetalSd,MetalSd,TA,CBlock,TA,No,Unf,TA,Fa,No Fireplace,No Garage,89500
6,7.188412736496954,430.0,1324.0,Gilbert,VinylSd,VinylSd,Gd,PConc,Gd,No,Unf,Ex,Gd,No Fireplace,Fin,199500
5,6.806829360392176,408.0,876.0,Sawyer,HdBoard,HdBoard,TA,PConc,TA,No,Unf,TA,TA,No Fireplace,Unf,109900
7,7.640123172695364,282.0,1276.0,Crawfor,MetalSd,MetalSd,Gd,BrkTil,Gd,No,Unf,Ex,Gd,Gd,Unf,234000
6,6.742880635791903,420.0,848.0,CollgCr,VinylSd,VinylSd,Gd,PConc,Gd,Mn,GLQ,Ex,Gd,Gd,RFn,155900
4,7.488852955733459,304.0,1104.0,ClearCr,Wd Sdng,Wd Sdng,TA,CBlock,TA,Av,Unf,Ex,TA,TA,Unf,161500
6,7.203405521083095,525.0,819.0,Timber,HdBoard,HdBoard,TA,CBlock,TA,No,GLQ,Gd,Gd,Gd,RFn,137500
5,7.721348612617949,0.0,840.0,OldTown,MetalSd,MetalSd,TA,BrkTil,TA,Mn,Unf,Fa,Fa,No Fireplace,No Garage,76500
6,7.630461261783627,521.0,1151.0,ClearCr,Plywood,Plywood,Gd,PConc,Gd,No,GLQ,TA,TA,TA,Unf,211000
6,7.198183577101943,511.0,1405.0,NAmes,MetalSd,MetalSd,Gd,PConc,Gd,No,GLQ,Ex,Gd,No Fireplace,Fin,181000
6,7.060476365999801,490.0,1127.0,NAmes,HdBoard,HdBoard,TA,CBlock,TA,Gd,Rec,TA,TA,No Fireplace,RFn,174900
5,7.1853870155804165,564.0,1164.0,Sawyer,VinylSd,VinylSd,TA,CBlock,TA,Av,LwQ,Ex,TA,Fa,RFn,164500
7,7.336285660021297,532.0,1517.0,NridgHt,VinylSd,VinylSd,Gd,PConc,Gd,No,GLQ,Ex,Gd,No Fireplace,RFn,214000
7,7.622663951323595,489.0,738.0,NWAmes,HdBoard,HdBoard,TA,CBlock,Gd,Mn,Unf,TA,TA,TA,Unf,185000
4,7.035268599281097,336.0,704.0,BrkSide,MetalSd,MetalSd,TA,PConc,TA,No,BLQ,Ex,TA,No Fireplace,Unf,123000
6,7.1693500166706,486.0,1001.0,Mitchel,HdBoard,Wd Shng,TA,CBlock,Gd,Av,GLQ,TA,Gd,Po,RFn,183500
8,7.273092595999522,492.0,776.0,Somerst,MetalSd,MetalSd,Gd,PConc,Gd,No,Unf,Ex,Gd,No Fireplace,Unf,174000
5,7.396335293800808,649.0,1073.0,Edwards,MetalSd,MetalSd,TA,CBlock,TA,No,Rec,TA,TA,TA,Unf,130000
7,7.403061091090091,546.0,728.0,OldTown,Wd Sdng,Wd Sdng,TA,BrkTil,TA,No,LwQ,Ex,Ex,Gd,Unf,178000
5,7.395721608602045,482.0,928.0,Gilbert,VinylSd,VinylSd,TA,PConc,Gd,No,GLQ,Gd,TA,TA,Fin,189900
6,6.742880635791903,420.0,848.0,CollgCr,VinylSd,VinylSd,Gd,PConc,Gd,Av,GLQ,Ex,Gd,No Fireplace,Fin,144000
6,6.704414354964107,432.0,816.0,IDOTRR,Wd Sdng,Wd Sdng,Gd,BrkTil,TA,Av,ALQ,Ex,TA,No Fireplace,Unf,120500
5,7.00033446027523,672.0,1097.0,CollgCr,VinylSd,VinylSd,TA,PConc,Gd,No,Unf,Ex,TA,No Fireplace,Unf,145000
8,7.409741954080923,499.0,1494.0,StoneBr,CemntBd,CmentBd,Gd,PConc,Gd,Av,GLQ,Ex,Ex,No Fireplace,RFn,251000
4,7.477604243197589,0.0,1768.0,Sawyer,HdBoard,HdBoard,TA,CBlock,TA,No,Unf,TA,TA,No Fireplace,No Garage,136500
4,7.049254841255837,0.0,0.0,Edwards,WdShing,Wd Shng,TA,Slab,No Basement,No,No Basement,TA,TA,No Fireplace,No Garage,82500
2,6.697034247666484,280.0,0.0,IDOTRR,Wd Sdng,Wd Sdng,Fa,CBlock,No Basement,No,No Basement,TA,TA,No Fireplace,Unf,57625
7,7.213768308118642,484.0,1350.0,NridgHt,VinylSd,VinylSd,Gd,PConc,Gd,No,GLQ,Ex,Gd,Gd,RFn,212500
6,7.103322062526113,402.0,1216.0,Mitchel,VinylSd,VinylSd,TA,PConc,Ex,No,GLQ,Ex,TA,No Fireplace,Unf,164000
6,7.401231264413015,384.0,967.0,IDOTRR,MetalSd,MetalSd,TA,CBlock,TA,No,Unf,Gd,Gd,No Fireplace,Unf,139000
7,7.132497551660044,462.0,600.0,Somerst,MetalSd,MetalSd,Gd,PConc,Gd,No,BLQ,Ex,Gd,No Fireplace,Unf,160000
5,6.78332520060396,698.0,828.0,Mitchel,HdBoard,Wd Shng,TA,PConc,Gd,Av,GLQ,TA,TA,Fa,Unf,149000
5,6.773080375655535,288.0,864.0,Mitchel,HdBoard,HdBoard,TA,CBlock,TA,No,BLQ,TA,TA,No Fireplace,RFn,130000
7,7.444248649496705,480.0,576.0,OldTown,Stucco,Stucco,TA,BrkTil,TA,No,Unf,Gd,TA,No Fireplace,Unf,140000
8,7.515344571180436,517.0,1836.0,Somerst,VinylSd,VinylSd,Gd,PConc,Gd,No,Unf,Ex,Gd,Gd,Fin,264500
5,6.9957661563048505,299.0,1092.0,NAmes,Wd Sdng,Wd Sdng,TA,CBlock,TA,No,Rec,TA,TA,TA,Fin,141000
7,7.123672785204607,569.0,1241.0,Somerst,VinylSd,VinylSd,Gd,PConc,Gd,No,GLQ,Ex,Gd,No Fireplace,Fin,199900
6,7.195937226475569,630.0,1350.0,NWAmes,Plywood,Plywood,TA,CBlock,Gd,No,ALQ,TA,TA,TA,RFn,167900
6,7.264730177929867,572.0,1144.0,NAmes,Wd Sdng,Wd Sdng,TA,CBlock,TA,No,BLQ,Ex,Gd,Gd,Unf,181900
8,7.356279876550748,750.0,1566.0,Somerst,VinylSd,VinylSd,Gd,PConc,Gd,Av,GLQ,Ex,Gd,No Fireplace,RFn,262500
7,7.735433352499688,520.0,908.0,NWAmes,HdBoard,HdBoard,TA,PConc,Gd,No,GLQ,Ex,Gd,TA,RFn,230000
9,7.443663683115591,506.0,1698.0,Somerst,MetalSd,MetalSd,Gd,PConc,Ex,Av,GLQ,Ex,Gd,TA,Fin,328900
8,7.450660796211539,554.0,1721.0,NridgHt,VinylSd,VinylSd,Gd,PConc,Gd,No,GLQ,Ex,Gd,No Fireplace,RFn,232698
8,7.134093721192866,810.0,1254.0,CollgCr,VinylSd,VinylSd,Gd,PConc,Gd,Av,GLQ,Ex,Gd,No Fireplace,RFn,221800
5,7.2078598714324755,627.0,576.0,Sawyer,Wd Sdng,Wd Sdng,TA,BrkTil,TA,No,ALQ,Gd,Gd,No Fireplace,Unf,152400
7,7.396335293800808,451.0,1630.0,CollgCr,VinylSd,VinylSd,Gd,PConc,Gd,No,Unf,Ex,Gd,TA,Unf,213000
7,7.368339686311381,449.0,784.0,SawyerW,VinylSd,VinylSd,Gd,PConc,Gd,No,Unf,Ex,Gd,No Fireplace,RFn,184900
5,7.197435354096591,375.0,1165.0,Crawfor,MetalSd,MetalSd,TA,CBlock,TA,Mn,BLQ,TA,TA,Gd,Unf,157000
5,7.099201743553092,576.0,864.0,Sawyer,HdBoard,HdBoard,TA,CBlock,TA,No,BLQ,Gd,TA,TA,Unf,144000
6,7.210079628170788,478.0,1259.0,NWAmes,MetalSd,MetalSd,TA,CBlock,Gd,No,GLQ,Ex,TA,TA,RFn,192350
7,7.090076835776092,440.0,1174.0,NAmes,HdBoard,Plywood,TA,CBlock,TA,No,BLQ,Ex,TA,TA,RFn,163500
7,7.753194269884341,514.0,1475.0,SawyerW,HdBoard,HdBoard,TA,PConc,Gd,No,GLQ,Ex,Gd,Ex,Unf,262280
7,7.336936913707618,532.0,1536.0,CollgCr,VinylSd,VinylSd,Gd,PConc,Gd,Av,GLQ,Ex,Gd,No Fireplace,RFn,214000
6,7.501634457883413,470.0,1073.0,Crawfor,Stone,Stone,TA,PConc,TA,No,ALQ,Ex,Ex,Gd,Fin,230000
7,7.683403681053826,947.0,1063.0,NridgHt,VinylSd,VinylSd,Gd,PConc,Ex,No,Unf,Ex,Gd,Gd,RFn,280000
4,6.9782137426306985,720.0,1073.0,IDOTRR,MetalSd,MetalSd,TA,CBlock,TA,No,GLQ,Gd,TA,No Fireplace,Unf,140000
6,7.516977224604321,442.0,756.0,NAmes,MetalSd,MetalSd,TA,CBlock,TA,No,Unf,TA,TA,TA,Unf,155000
3,6.927557906278317,0.0,1020.0,IDOTRR,Wd Sdng,Wd Sdng,Fa,BrkTil,TA,No,Unf,Fa,Fa,No Fireplace,No Garage,64500
6,7.496652438168283,1017.0,946.0,SawyerW,VinylSd,VinylSd,Gd,PConc,Gd,No,GLQ,Ex,Gd,Gd,RFn,218000
5,6.9167150203536085,576.0,995.0,CollgCr,Plywood,VinylSd,TA,CBlock,TA,Av,ALQ,TA,TA,Fa,Unf,160000
8,7.198931240688173,598.0,1338.0,Somerst,VinylSd,VinylSd,Gd,PConc,Gd,No,GLQ,Ex,Gd,No Fireplace,RFn,208900
5,8.24800570160062,624.0,0.0,Edwards,Plywood,Plywood,TA,Slab,No Basement,No,No Basement,TA,Ex,Gd,Unf,284700
7,7.238496840894365,540.0,689.0,Somerst,VinylSd,VinylSd,Gd,PConc,Gd,No,Unf,Ex,Gd,No Fireplace,Unf,146000
8,7.160845906664299,500.0,1260.0,Veenker,BrkFace,BrkFace,Gd,PConc,Gd,No,GLQ,Ex,Ex,Gd,Fin,245500
6,6.920671504248683,160.0,992.0,BrkSide,MetalSd,MetalSd,TA,BrkTil,TA,No,Unf,Ex,TA,No Fireplace,Unf,113000
8,7.485491608030754,932.0,1782.0,NridgHt,VinylSd,VinylSd,Gd,PConc,Ex,Gd,GLQ,Ex,Gd,Gd,Fin,296000
9,7.561121589530238,676.0,1922.0,StoneBr,VinylSd,VinylSd,Gd,PConc,Ex,Gd,GLQ,Ex,Gd,Gd,Fin,377426
10,7.4489161025442,786.0,1700.0,NridgHt,CemntBd,CmentBd,Ex,PConc,Ex,Gd,GLQ,Ex,Ex,Gd,Fin,337500
10,7.820840879907344,949.0,2492.0,NridgHt,CemntBd,CmentBd,Ex,PConc,Ex,Gd,GLQ,Ex,Ex,Ex,Fin,552000
4,6.841615476477592,265.0,624.0,Edwards,VinylSd,VinylSd,TA,CBlock,Fa,Mn,Unf,Ex,TA,No Fireplace,Unf,97900
6,7.1049654482698426,676.0,1218.0,Somerst,VinylSd,VinylSd,Gd,PConc,Gd,No,GLQ,Ex,Gd,No Fireplace,Fin,208300
7,7.506591780070841,816.0,910.0,Mitchel,VinylSd,VinylSd,TA,PConc,Gd,Mn,Unf,Ex,Gd,TA,Unf,213000
7,7.452402451223638,527.0,880.0,CollgCr,VinylSd,VinylSd,TA,PConc,Gd,Av,Unf,Ex,Gd,No Fireplace,Fin,188000
6,7.197435354096591,488.0,1121.0,NAmes,Wd Sdng,Wd Sdng,TA,CBlock,TA,No,Rec,Ex,TA,TA,RFn,162000
5,7.351158226430694,282.0,910.0,IDOTRR,Wd Sdng,Wd Sdng,TA,CBlock,TA,No,BLQ,TA,TA,No Fireplace,Unf,152000
7,7.574045005372199,678.0,991.0,Somerst,VinylSd,VinylSd,Gd,PConc,Gd,No,GLQ,Ex,Gd,Gd,RFn,254900
7,7.412764017426562,483.0,832.0,SawyerW,VinylSd,VinylSd,Gd,PConc,Gd,Av,GLQ,Ex,Gd,No Fireplace,RFn,189000
7,7.632401126601453,550.0,2048.0,NWAmes,Plywood,Plywood,Gd,CBlock,Gd,No,GLQ,TA,Gd,Fa,Fin,235000
5,7.059617628291383,240.0,1164.0,Edwards,MetalSd,MetalSd,TA,CBlock,TA,No,ALQ,TA,TA,No Fireplace,Unf,125000
7,6.728628613084702,308.0,836.0,NPkVill,Plywood,Brk Cmn,TA,CBlock,Gd,No,Unf,Ex,TA,No Fireplace,Unf,120000
1,7.377758908227872,270.0,0.0,Mitchel,CBlock,VinylSd,TA,CBlock,No Basement,No,No Basement,TA,TA,No Fireplace,Unf,81500
6,6.704414354964107,0.0,816.0,Edwards,HdBoard,HdBoard,TA,CBlock,Gd,Av,GLQ,TA,TA,No Fireplace,No Garage,118500
9,7.476472381163905,478.0,1766.0,Somerst,CemntBd,CmentBd,Ex,PConc,Ex,Mn,GLQ,Ex,Ex,Gd,Fin,370878
5,7.601901959875166,871.0,1001.0,Crawfor,MetalSd,MetalSd,TA,CBlock,TA,No,BLQ,TA,TA,No Fireplace,Unf,145000
7,7.577633832602728,431.0,798.0,Crawfor,VinylSd,VinylSd,Gd,CBlock,TA,No,BLQ,Ex,Gd,TA,Unf,311500
7,7.218176838403408,437.0,1220.0,Blmngtn,VinylSd,VinylSd,Gd,PConc,Gd,Av,GLQ,Ex,Gd,Gd,Fin,210250
